loan_id,payment_month,payment_amount
L1001,2023-07-01,808.7599999999984
L1001,2023-08-01,808.7599999999984
L1001,2023-09-01,808.7599999999984
L1001,2023-10-01,808.7599999999984
L1001,2023-11-01,808.7599999999984
L1001,2023-12-01,808.7599999999984
L1001,2024-01-01,808.7599999999984
L1001,2024-02-01,808.7599999999984
L1001,2024-03-01,808.7599999999984
L1001,2024-04-01,808.7599999999984
L1001,2024-05-01,808.7600000000002
L1001,2024-06-01,808.7600000000002
L1001,2024-07-01,808.7600000000002
L1001,2024-08-01,808.7600000000002
L1001,2024-09-01,808.7600000000002
L1001,2024-10-01,808.7600000000002
L1001,2024-11-01,808.7600000000002
L1001,2024-12-01,808.7600000000002
L1001,2025-01-01,808.7600000000002
L1001,2025-02-01,808.7600000000002
L1001,2025-03-01,808.7600000000002
L1001,2025-04-01,808.7600000000002
L1001,2025-05-01,808.7600000000002
L1001,2025-06-01,808.7600000000002
L1001,2025-07-01,808.7600000000002
L1001,2025-08-01,808.7600000000002
L1001,2025-09-01,808.7600000000002
L1001,2025-10-01,808.7600000000002
L1001,2025-11-01,808.76
L1001,2025-12-01,808.76
L1001,2026-01-01,808.76
L1001,2026-02-01,808.76
L1002,2023-11-01,419.9300000000003
L1002,2023-12-01,419.9300000000003
L1002,2024-01-01,419.9300000000003
L1002,2024-02-01,419.9300000000003
L1002,2024-03-01,419.9300000000003
L1002,2024-04-01,419.9300000000003
L1002,2024-05-01,419.9300000000003
L1002,2024-06-01,419.9300000000003
L1002,2024-07-01,419.9300000000003
L1002,2024-08-01,419.9300000000003
L1002,2024-09-01,419.9300000000003
L1002,2024-10-01,419.9300000000003
L1002,2024-11-01,419.9300000000003
L1002,2024-12-01,419.9300000000003
L1002,2025-01-01,419.9300000000003
L1002,2025-02-01,419.9300000000003
L1002,2025-03-01,419.9300000000003
L1002,2025-04-01,419.9300000000003
L1002,2025-05-01,419.9300000000003
L1002,2025-06-01,419.9300000000003
L1002,2025-07-01,419.9300000000003
L1002,2025-10-01,419.92999999999984
L1002,2025-11-01,419.92999999999984
L1002,2025-12-01,419.92999999999984
L1002,2026-01-01,419.92999999999984
L1002,2026-02-01,419.92999999999984
L1002,2026-03-01,419.93000000000006
L1002,2026-04-01,419.93000000000006
L1002,2026-05-01,419.93000000000006
L1002,2026-06-01,419.93
L1002,2026-07-01,419.93
L1002,2026-08-01,419.93
L1003,2024-11-01,699.6500000000015
L1003,2024-12-01,699.6500000000015
L1003,2025-01-01,699.6500000000015
L1003,2025-02-01,699.6500000000015
L1003,2025-03-01,699.6499999999996
L1003,2025-04-01,699.6499999999996
L1003,2025-05-01,699.6499999999996
L1003,2025-06-01,699.6499999999996
