loan_id,month,rung,balance,status
L1001,2023-06-01,0,25191.24,current
L1001,2023-07-01,0,24382.480000000003,current
L1001,2023-08-01,0,23573.720000000005,current
L1001,2023-09-01,0,22764.960000000006,current
L1001,2023-10-01,0,21956.200000000008,current
L1001,2023-11-01,0,21147.44000000001,current
L1001,2023-12-01,0,20338.68000000001,current
L1001,2024-01-01,0,19529.920000000013,current
L1001,2024-02-01,0,18721.160000000014,current
L1001,2024-03-01,0,17912.400000000016,current
L1001,2024-04-01,0,17103.640000000018,current
L1001,2024-05-01,0,16294.880000000017,current
L1001,2024-06-01,0,15486.120000000017,current
L1001,2024-07-01,0,14677.360000000017,current
L1001,2024-08-01,0,13868.600000000017,current
L1001,2024-09-01,0,13059.840000000017,current
L1001,2024-10-01,0,12251.080000000016,current
L1001,2024-11-01,0,11442.320000000016,current
L1001,2024-12-01,0,10633.560000000016,current
L1001,2025-01-01,0,9824.800000000016,current
L1001,2025-02-01,0,9016.040000000015,current
L1001,2025-03-01,0,8207.280000000015,current
L1001,2025-04-01,0,7398.520000000015,current
L1001,2025-05-01,0,6589.760000000015,current
L1001,2025-06-01,0,5781.000000000015,current
L1001,2025-07-01,0,4972.240000000014,current
L1001,2025-08-01,0,4163.480000000014,current
L1001,2025-09-01,0,3354.720000000014,current
L1001,2025-10-01,0,2545.9600000000137,current
L1001,2025-11-01,0,1737.2000000000137,current
L1001,2025-12-01,0,928.4400000000137,current
L1001,2026-01-01,0,119.6800000000137,current
L1001,2026-02-01,0,-689.0799999999863,current
L1002,2023-10-01,0,13080.07,current
L1002,2023-11-01,0,12660.14,current
L1002,2023-12-01,0,12240.21,current
L1002,2024-01-01,0,11820.279999999999,current
L1002,2024-02-01,0,11400.349999999999,current
L1002,2024-03-01,0,10980.419999999998,current
L1002,2024-04-01,0,10560.489999999998,current
L1002,2024-05-01,0,10140.559999999998,current
L1002,2024-06-01,0,9720.629999999997,current
L1002,2024-07-01,0,9300.699999999997,current
L1002,2024-08-01,0,8880.769999999997,current
L1002,2024-09-01,0,8460.839999999997,current
L1002,2024-10-01,0,8040.909999999996,current
L1002,2024-11-01,0,7620.979999999996,current
L1002,2024-12-01,0,7201.049999999996,current
L1002,2025-01-01,0,6781.119999999995,current
L1002,2025-02-01,0,6361.189999999995,current
L1002,2025-03-01,0,5941.259999999995,current
L1002,2025-04-01,0,5521.3299999999945,current
L1002,2025-05-01,0,5101.399999999994,current
L1002,2025-06-01,0,4681.469999999994,current
L1002,2025-07-01,0,4261.539999999994,current
L1002,2025-08-01,1,4261.539999999994,30 days late
